source,target,label,mt_system,lang
"Ocelots like to eat small animals. They will catch monkeys, snakes, rodents and birds if they can. Almost all of the animals that the ocelot hunts are far smaller than it is.","Paka mwitu hupenda kula wanyama wadogo. Hushika tumbili, nyoka, panya na ndege kama wanaweza. Karibu wanyama wote ambao paka mwitu huwinda ni wadogo kumliko.",0,human,swh
"Ocelots like to eat small animals. They will catch monkeys, snakes, rodents and birds if they can. Almost all of the animals that the ocelot hunts are far smaller than it is.","Ocelots kama kula wanyama wadogo. wao catch nyani, nyoka, wadudu na ndege kama wanaweza. karibu wote wa wanyama kwamba ocelot hunya ni ndogo sana kuliko ni.",2,nllb,swh
"Ocelots like to eat small animals. They will catch monkeys, snakes, rodents and birds if they can. Almost all of the animals that the ocelot hunts are far smaller than it is.","Ocelots like to eat small animals. They will catch monkeys, snakes, rodents and birds if they can. Almost all of the animals that the ocelot hunts are far smaller than it is.",6,claude_style,swh
"Finally, there are many small cats (including loose pet cats) that eat the far more numerous small prey like insects, rodents, lizards, and birds.","Mwishowe, kuna paka wengi wadogo (wakiwemo paka huru vipenzi) ambao hula mawindo madogomadogo ambayo ni mengi, kama wadudu, panya, mijusi, na ndege.",0,human,swh
"Finally, there are many small cats (including loose pet cats) that eat the far more numerous small prey like insects, rodents, lizards, and birds.","Mwishowe, kuna paka wadogo wengi (ikiwa ni pamoja na paka walio huru) ambao hula wanyama wadogo wengi zaidi kama vile wadudu, wadudu, nzige, na ndege.",2,nllb,swh
People would bring sacrifices to the gods and the priests would try to attend to the needs of the gods through ceremonies and festivals.,Watu wangeleta dhabihu kwa miungu na makuhani wangejaribu kushughulikia mahitaji ya miungu kupitia sherehe na tamasha.,0,human,swh
"Over time, as the new population begins to adapt to their new environment, they start to look less and less like the other population.","Kwa muda, jinsi idadi mpya inavyoanza kuzoea mazingira yao mapya, wanaanza kuonekana zaidi na zaidi tofauti na idadi ile nyingine.",0,human,swh
"Over time, as the new population begins to adapt to their new environment, they start to look less and less like the other population.","Baada ya muda, watu wapya wanapoanza kuzoea mazingira yao mapya, wanaanza kuonekana kama watu wengine.",2,nllb,swh
"Over time, as the new population begins to adapt to their new environment, they start to look less and less like the other population.","Over time, as the new population begins to adapt to their new environment, they start to look less and less like the other population.",7,gemini_style,swh
Before The Simpsons Simon had worked on several shows in various positions.,Kabla ya The Simpsons Simon alikuwa amefanyia kazi maonyesho kadhaa katika nafasi mbalimbali.,0,human,swh
Before The Simpsons Simon had worked on several shows in various positions.,Kabla ya The Simpsons Simon alikuwa amefanya kazi kwenye maonyesho kadhaa katika nyadhifa mbalimbali.,1,google,swh
Before The Simpsons Simon had worked on several shows in various positions.,Before The Simpsons Simon had worked on several shows in various positions.,7,gemini_style,swh
"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","Huku chanjo moja ya majaribio ikionekana kupunguza vifo kutokana na Ebola, hadi kufikia sasa, hakuna dawa zimeonyeshwa dhahiri kufaa kutibu maambukizo yaliyoko.",0,human,swh
Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.,0,human,swh
Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff alisema mauzo yaliongezeka baada ya maonyesho yake ya 2013 katika kipindi cha Shark Tank ambapo jopo la show lilikataa kufadhili kuanza.,2,nllb,swh
"We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.","Sisi hutengeneza nyumba zetu kwa mimea na kutengeneza nguo zetu kwa mimea. Chakula kingi ambacho sisi hula ni mimea. Bila mimea, wanyama hawawezi kuishi.",0,human,swh
"We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.","Tunajenga nyumba zetu kwa mimea na mavazi yetu kwa mimea. Vyakula vingi tunavyokula ni mimea. Bila mimea, wanyama hawawezi kuishi.",2,nllb,swh
"We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.","We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.",7,gemini_style,swh
"In 1683, Qing dynasty (1644-1912) forces take control of Taiwan’s western and northern coastal areas and declared Taiwan as a province of the Qing Empire in 1885.","Mnamo 1683, vikosi vya nasaba ya Qing (1644-1912) vilichukua udhibiti wa maeneo ya pwani ya magharibi na kaskazini ya Taiwan na kutangaza Taiwan kama mkoa wa Milki ya Qing mnamo 1885.",0,human,swh
"In 1683, Qing dynasty (1644-1912) forces take control of Taiwan’s western and northern coastal areas and declared Taiwan as a province of the Qing Empire in 1885.","Mnamo 1683, vikosi vya nasaba ya Qing (1644-1912) vilichukua udhibiti wa maeneo ya pwani ya magharibi na kaskazini mwa Taiwan na kutangaza Taiwan kama mkoa wa Dola ya Qing mnamo 1885.",2,nllb,swh
"In 1683, Qing dynasty (1644-1912) forces take control of Taiwan’s western and northern coastal areas and declared Taiwan as a province of the Qing Empire in 1885.","In 1683, Qing dynasty (1644-1912) forces take control of Taiwan’s western and also northern coastal areas and also declared Taiwan as a province of the Qing Empire in 1885.",5,gpt4_style,swh
The Madhya Pradesh Police recovered the stolen laptop and mobile phone.,Polisi wa Madhya Pradesh walikipata kipakatalishi na simu ya rununu iliyoibwa.,0,human,swh
The Madhya Pradesh Police recovered the stolen laptop and mobile phone.,Polisi wa Madhya Pradesh walipata kompyuta ndogo na simu ya mkononi iliyoibwa.,2,nllb,swh
"A former Filipino policeman has kept Hong Kong tourists hostage by hijacking their bus in Manila, the capital of the Philippines.","Polisi wa kitambo wa Filipino amewateka nyara watalii wa Hong Kong kwa kuteka basi lao katika Manila, mji mkuu wa Ufilipino.",0,human,swh
"A former Filipino policeman has kept Hong Kong tourists hostage by hijacking their bus in Manila, the capital of the Philippines.","A former Filipino policeman has kept Hong Kong tourists hostage by hijacking their bus in Manila, the capital of the Philippines.",5,gpt4_style,swh
"Feel free to pencil in your own marks, but remember the printed bowing marks are there for a musical reason, so they should usually be respected.","Jisikie huru kuandika kwa penseli alama zako, lakini kumbuka alama za kuinama zilizochapwa ziko kwa sababu ya kimziki, kwa hivyo yafaa ziheshimiwe.",0,human,swh
"Feel free to pencil in your own marks, but remember the printed bowing marks are there for a musical reason, so they should usually be respected.","Jisikie huru kuandika alama zako mwenyewe, lakini kumbuka alama zilizochapishwa za kuinama zipo kwa sababu ya muziki, kwa hiyo kwa kawaida zinapaswa kuheshimiwa.",2,nllb,swh
Fourteen schools in Hawaii located on or near coastlines were closed all of Wednesday despite the warnings being lifted.,Shule kumi na nne katika Hawaii zilizoko au zilizo karibu na mipaka ya pwani zilifungwa siku nzima Jumatano licha ya tahadhari kuondolewa.,0,human,swh
"Hu encouraged developing countries ""to avoid the old path of polluting first and cleaning up later.""",Hu aliimiza nchi zinazokua “kuepuka njia ya kitambo ya kuchafua kwanza na kusafisha baadaye.’’,0,human,swh
"Eventually, after thousands or even millions of years, the two populations will look so different that they can't be called the same species.","Mwishowe, baada ya maelfu au hata mamilioni ya miaka, wakazi hao wawili wataonekana tofauti sana kwamba hawawezi kuitwa spishi moja.",0,human,swh
"Eventually, after thousands or even millions of years, the two populations will look so different that they can't be called the same species.","Eventually, after thousands or even millions of years, the two populations will look so different that they can't be called the same species.",7,gemini_style,swh
